disturbance,h_scale,load_level,t_event,i_gentrip,seed,run_id,f_nadir_hz,f_zenith_hz,rocof_hz_s,settling_s,f_min_hz,f_max_hz,converged,runtime_s
baseline,0.7801428451426144,1.1819482294810906,0.0,0,0,0,0.0007497912226099857,0.0012301541125623316,0.00099211242932995,0.0,59.99925020877739,60.00123015411256,True,77.287
baseline,1.2820496808103155,0.8771183607575086,0.0,0,1,1,0.0005938838101329225,0.0007770207374022675,0.000633151872833082,0.0,59.99940611618987,60.0007770207374,True,84.952
baseline,0.8857254921578155,1.1934693148471998,0.0,0,2,2,0.0007091226696260833,0.001119117025503158,0.0008871603169069431,0.0,59.999290877330374,60.0011191170255,True,85.569
baseline,1.3065828616168558,1.191526353907762,0.0,0,3,3,0.0005881461515215847,0.0007686745708781473,0.0006219994661904593,0.0,59.99941185384848,60.00076867457088,True,79.32
baseline,1.4972275446032715,0.9748133893188813,0.0,0,4,4,0.0005475089943018929,0.0007027402101300595,0.0005466520534014307,0.0,59.9994524910057,60.00070274021013,True,45.383
baseline,0.9856712999124133,1.0678971014535756,0.0,0,5,5,0.0006752399691762889,0.001016379502082998,0.0008061781972656945,0.0,59.999324760030824,60.00101637950208,True,45.672
baseline,1.1939400639711901,0.816461726656842,0.0,0,6,6,0.0006156023787795561,0.0008189871387074277,0.0006765706902456259,0.0,59.99938439762122,60.00081898713871,True,45.519
baseline,1.334331757343961,0.8142352399039869,0.0,0,7,7,0.0005818074129919637,0.0007591794843690991,0.0006098295801137965,0.0,59.99941819258701,60.00075917948437,True,45.141
baseline,1.2021081616317093,1.1016658712131855,0.0,0,8,8,0.0006135116758230197,0.0008118198820667999,0.0006723070515590734,0.0,59.99938648832418,60.00081181988207,True,42.866
baseline,0.6781354278844214,0.9142411595883222,0.0,0,9,9,0.0008436722271838448,0.001335632576015655,0.001119957929205384,0.0,59.999156327772816,60.001335632576016,True,42.407
baseline,1.4342289213106527,1.0238454811749003,0.0,0,10,10,0.0005602190419935482,0.0007246513960481593,0.0005695469545941023,0.0,59.99943978095801,60.00072465139605,True,41.247
baseline,0.7360002140129815,0.8851860121399227,0.0,0,11,11,0.0007872367523162893,0.0012763448136112743,0.0010436721476736466,0.0,59.999212763247684,60.00127634481361,True,41.409
baseline,0.9218970620026248,1.140732536743279,0.0,0,12,12,0.0006963930839418708,0.0010815136428163896,0.0008560746594810098,0.0,59.99930360691606,60.001081513642816,True,43.265
baseline,1.3964353302102785,0.8066262715671082,0.0,0,13,13,0.000568169613117675,0.0007377623871036576,0.0005841754780533392,0.0,59.99943183038688,60.000737762387104,True,43.171
baseline,0.9428734391547028,1.1265648310605283,0.0,0,14,14,0.0006892607898336678,0.0010599063854854762,0.0008390096955679383,0.0,59.999310739210166,60.001059906385485,True,42.827
baseline,0.875567310277297,1.179894355095829,0.0,0,15,15,0.0007128003327991905,0.0011297417231048712,0.0008962942731471912,0.0,59.9992871996672,60.001129741723105,True,43.077
baseline,1.0911440076189387,0.9175382395371104,0.0,0,16,16,0.0006434152853600494,0.0009130848189045082,0.0007350575209130739,0.0,59.99935658471464,60.000913084818905,True,41.422
baseline,0.976725123827848,1.1694512478380437,0.0,0,17,17,0.0006781139545140036,0.0010254105305804728,0.0008128323509026814,0.0,59.999321886045486,60.00102541053058,True,41.144
baseline,0.9927520611142328,1.1499089252084587,0.0,0,18,18,0.0006729858131109268,0.0010092586093151112,0.0008009869142000525,0.0,59.99932701418689,60.001009258609315,True,41.526
baseline,1.2238657245080362,1.0762577452752131,0.0,0,19,19,0.0006080221115212225,0.0007966029035486599,0.0006611976557024946,0.0,59.99939197788848,60.00079660290355,True,41.492
baseline,1.0302829391450727,1.0896938538832495,0.0,0,20,20,0.0006613314594119402,0.000971938732028832,0.000774526425217914,0.0,59.99933866854059,60.00097193873203,True,41.708
baseline,1.262933942367936,0.9379139582921383,0.0,0,21,21,0.000598444619875238,0.0007834886470661218,0.000642110960953346,0.0,59.999401555380125,60.000783488647066,True,41.752
baseline,1.2176142665503082,0.90814231555893,0.0,0,22,22,0.0006095877139458139,0.0007986878695476207,0.0006643534653960614,0.0,59.999390412286054,60.00079868786955,True,41.527
baseline,0.8441622720585222,1.1061863615175778,0.0,0,23,23,0.0007244716504573034,0.0011627172648971396,0.0009257405400120433,0.0,59.99927552834954,60.0011627172649,True,41.889
baseline,1.3433168909849607,0.9988113895908888,0.0,0,24,24,0.0005797882349725114,0.0007560938409483242,0.0006059860831442165,0.0,59.99942021176503,60.00075609384095,True,41.786
baseline,0.6111828138769364,0.9467293355421502,0.0,0,25,25,0.0009164154680050274,0.0014008566943743972,0.0012235243251268457,0.0,59.999083584531995,60.001400856694374,True,42.046
baseline,1.0182762058727728,0.9534531711773734,0.0,0,26,26,0.0006650072475977709,0.0009837978138520498,0.0007828049816538396,0.0,59.9993349927524,60.00098379781385,True,42.049
baseline,1.2778743247736295,1.1231140201283873,0.0,0,27,27,0.0005948731646654437,0.0007784362333538297,0.0006350881862715596,0.0,59.999405126835335,60.000778436233354,True,42.092
baseline,1.243428081577024,0.8980598926809711,0.0,0,28,28,0.0006031825363166377,0.0007900543477816768,0.0006515062435141772,0.0,59.99939681746368,60.00079005434778,True,41.358
baseline,1.4039210461041327,0.9822463264812549,0.0,0,29,29,0.0005665746126624072,0.0007351690085215523,0.0005812215157874334,0.0,59.99943342538734,60.00073516900852,True,41.186
baseline,1.1327372190662104,0.9297849247079413,0.0,0,30,30,0.0006318132586358161,0.0008741663154125945,0.0007102563363048375,0.0,59.999368186741364,60.00087416631541,True,41.183
baseline,0.8388020972272127,1.0683627751810492,0.0,0,31,31,0.0007265108194687286,0.0011683597253693279,0.0009309595171203,0.0,59.99927348918053,60.00116835972537,True,41.376
baseline,1.1762529633411067,1.0626784490756094,0.0,0,32,32,0.0006201868756434692,0.0008346687167986033,0.0006859847442797218,0.0,59.99937981312436,60.0008346687168,True,40.806
baseline,1.4244483777744485,0.8679514064977242,0.0,0,33,33,0.0005622523202859497,0.0007280481884706091,0.0005732652017087503,0.0,59.999437747679714,60.00072804818847,True,40.792
baseline,0.6697294329600914,0.8484173023932626,0.0,0,34,34,0.0008523406311979898,0.0013440601687051412,0.0011319782840502057,0.0,59.9991476593688,60.001344060168705,True,40.91
baseline,0.709333983095259,1.057556164845016,0.0,0,35,35,0.0008125664467542038,0.001303905540673611,0.0010774912745148413,0.0,59.999187433553246,60.001303905540674,True,41.037
baseline,1.318527951375935,0.9039875202280753,0.0,0,36,36,0.0005853982139640834,0.0007645938890163961,0.0006167041323124067,0.0,59.999414601786036,60.000764593889016,True,40.971
baseline,1.0658699330772117,1.038721462754915,0.0,0,37,37,0.0006507143982545927,0.0009372612144034065,0.00075096302531108,0.0,59.999349285601745,60.0009372612144,True,41.016
baseline,0.5518430993626429,0.8446388478511806,0.0,0,38,38,0.0009888163107802939,0.0014651988073879352,0.0013330367900721285,0.0,59.99901118368922,60.00146519880739,True,41.009
baseline,1.4670282332827225,0.9713075676795789,0.0,0,39,39,0.0005535198021746623,0.0007132476477025307,0.0005574047204959243,0.0,59.999446480197825,60.0007132476477,True,41.378
baseline,0.5406712084026981,1.098161049472313,0.0,0,40,40,0.0010034003865442287,0.001488777395842078,0.0013559495209136685,0.0,59.998996599613456,60.00148877739584,True,40.835
baseline,1.1484340426741713,0.802783577704944,0.0,0,41,41,0.0006275610326653691,0.0008597714460663042,0.0007013120151810881,0.0,59.999372438967335,60.000859771446066,True,40.815
baseline,1.3762943123475924,0.8750221002254237,0.0,0,42,42,0.0005725122778557079,0.0007447291648432497,0.0005922666591828829,0.0,59.999427487722144,60.00074472916484,True,40.807
baseline,1.472600769127877,1.0022847554683976,0.0,0,43,43,0.0005523995091181177,0.0007113089568520081,0.0005553905733535203,0.0,59.99944760049088,60.00071130895685,True,41.256
baseline,1.1875737805778257,1.0096581837990013,0.0,0,44,44,0.0006172434109288361,0.0008246062271695109,0.0006799302407500818,0.0,59.99938275658907,60.00082460622717,True,41.168
baseline,0.5951189445032602,0.8911319700764793,0.0,0,45,45,0.0009352194777463296,0.0014157343544667356,0.0012513321267704214,0.0,59.999064780522254,60.00141573435447,True,40.999
baseline,1.1260377734508549,0.993942136974866,0.0,0,46,46,0.0006336487560574255,0.000880359672294162,0.0007141411353472904,0.0,59.99936635124394,60.000880359672294,True,41.115
baseline,0.7430654011046831,0.8343632724353365,0.0,0,47,47,0.0007807092845482089,0.0012689908248759707,0.0010350622763866113,0.0,59.99921929071545,60.001268990824876,True,41.601
baseline,0.6583006011908028,1.1464444962639966,0.0,0,48,48,0.000864330962144777,0.0013554220049911692,0.0011487445878799463,0.0,59.999135669037855,60.00135542200499,True,40.88
baseline,1.158421894681471,0.8311607929329459,0.0,0,49,49,0.0006248900406262692,0.0008506980176576917,0.0006957337372881511,0.0,59.999375109959374,60.00085069801766,True,40.801
baseline,1.1692821973378098,0.9045378781448529,0.0,0,50,50,0.0006220156199248095,0.0008409090667953478,0.0006897646050418871,0.0,59.999377984380075,60.000840909066795,True,41.114
baseline,1.4476801944959372,1.1145522199243938,0.0,0,51,51,0.0005574495856279782,0.0007199765356560306,0.0005645072108961813,0.0,59.99944255041437,60.000719976535656,True,41.072
baseline,0.7582745796160596,0.9674304844893556,0.0,0,52,52,0.0007669081709238412,0.001253102718273169,0.0010170039923451668,0.0,59.999233091829076,60.00125310271827,True,41.201
baseline,1.3636567406401203,1.1620876597814045,0.0,0,53,53,0.0005752758693233773,0.0007490911378766896,0.0005974534930430764,0.0,59.99942472413068,60.00074909113788,True,41.261
